క్రియ,అర్థం,Primary sense-type,Secondary sense-type
"ఉండు,ఉందురు,ఉంటివి,ఉన్నది,ఉన్నను","సత్తను(స్థితి)నితెలుపును 2.ప్రవర్తిల్లు 3.నివసించు 4.జీవించు 5.ఆగు,నిలుచు 6.ఊరకుండు 7.శేషించు,మిగులు ",,
ఉక్కడ(ణ)గు,"దుర్భలమగు,నిస్సత్వమగు",,
ఉక్కరు,ఉక్కుచెడు,,
ఉక్కాడు,బలముచూపు,,
ఉక్కు,"ఉడుకు,గాలి లేక తపించు 2.ఊపిరి యాడకుండు 3.(ఉక్కు)నశించు,చచ్చు",,
ఉక్కుమిగులు,"ప్రబలు,అతిశఇల్లు",,
ఉక్కెక్కు,"సత్త్వవంతమగు,దృఢమగు",,
ఉగ్గడించు,"ధ్వనించు,మ్రోయు",,
ఉచుకరించు,ఉచుక్కుమను,,
ఉజ్జగిల్లు(లు),"తొలగు,పోవు",,
ఉట్టిపడు,"కారు,స్రవించు,పైకివచ్చు2.హఠాతుగా గలుగు 3.శీఘ్రముగా వచ్చు,వెంటనేవచ్చు",,
ఉట్టు,"పుట్టు,కలుగు",,
ఉడాయించు,పారిపోవు,,
ఉడికిల్లు(లు),"ఉడుకు,తపించు",,
ఉడివోవువు,"ఉడిగిపోవు,విచ్చినమగు;నశించు",,
ఉడుకు(డ్కు),"తపించు 1.కాగు,తప్తమగు 2.పక్వమగు 3.(భయదుఃఖాదులచే)తాపమునొందు 4.కోపించు",,
ఉడుకుజుర్రు,ఉడుకుపదార్థముజుర్రు-తొందరపడు,,
ఉడుకె(వె)కుత్తు,ఉడుకొందు,,
ఉడుగు,"విరమించు,ఆగు 2.తీరు,పోవు.నశించు;తగ్గు 3.శోశిల్లు,ఇంకు",,
ఉడ్డాడు,"కలగు,చీకాకుపడు",,
ఉడ్డుకు(గు)డుచు,"ఊపిరి తిరుగక బాధపడు,ఉక్కిరిబిక్కిరియగు",,
ఉత్కర్షించు,అధికమగు,,
